model,text,technique,expected_toxic,pred_toxic
Model A,retard,canonical,1,1
Model A,r e t a r d,spacing,1,0
Model A,r3t4rd,leet,1,0
Model A,retarddddd,repeat,1,0
Model A,r.e.t.a.r.d,symbols,1,0
Model A,r 3 t 4 r d,combined,1,0
Model A,faggot,canonical,1,1
Model A,f a g g o t,spacing,1,0
Model A,f4gg0t,leet,1,0
Model A,faggottttt,repeat,1,0
Model A,f.a.g.g.o.t,symbols,1,0
Model A,f 4 g g 0 t,combined,1,0
Model A,nigger,canonical,1,1
Model A,n i g g e r,spacing,1,0
Model A,n1gg3r,leet,1,0
Model A,niggerrrrr,repeat,1,0
Model A,n.i.g.g.e.r,symbols,1,0
Model A,n 1 g g 3 r,combined,1,0
Model A,fag,canonical,1,1
Model A,f a g,spacing,1,0
Model A,f4g,leet,1,0
Model A,faggggg,repeat,1,0
Model A,f.a.g,symbols,1,0
Model A,f 4 g,combined,1,0
Model A,cunt,canonical,1,1
Model A,c u n t,spacing,1,0
Model A,cunt,leet,1,1
Model A,cunttttt,repeat,1,0
Model A,c.u.n.t,symbols,1,0
Model A,c u n t,combined,1,0
Model A,kys,canonical,1,0
Model A,k y s,spacing,1,0
Model A,ky$,leet,1,0
Model A,kysssss,repeat,1,0
Model A,k.y.s,symbols,1,0
Model A,k y $,combined,1,0
Model A,you are such a r e t a r d,spacing_in_sentence,1,0
Model A,stop being a f@gg0t,leet_in_sentence,1,1
Model A,just kysssss already,repeat_in_sentence,1,0
Model A,learn to play r.e.t.a.r.d,symbols_in_sentence,1,0
Model A,uninstall n 1 g g 3 r,combined_in_sentence,1,0
Model A,R3T 4 R d,multilayer_case_leet_space,1,0
Model A,F@G g 0 T,multilayer_case_leet_space,1,0
Model A,n.1.g.g.3.r,multilayer_leet_symbols,1,0
Model A,R.E.T.A.R.D.D.D.D,multilayer_symbols_repeat,1,0
Model A,k Y s$$$$,multilayer_case_leet_space_repeat,1,0
Model A,F   a   gg   0   T,multilayer_case_leet_widespacing,1,0
Model A,good game everyone,control_polite,0,0
Model A,g g w p,control_spacing_benign,0,0
Model A,nooooooo,control_repeat_benign,0,0
Model A,h3ll0 t34m,control_leet_benign,0,0
Model A,n.i.c.e p.l.a.y,control_symbols_benign,0,0
Model A,5v5 ranked is rough today,control_numbers,0,0
Model A,yesssssss,control_repeat_excitement,0,0
Model A,o m g,control_spacing_short,0,0
Model B,retard,canonical,1,1
Model B,r e t a r d,spacing,1,0
Model B,r3t4rd,leet,1,0
Model B,retarddddd,repeat,1,0
Model B,r.e.t.a.r.d,symbols,1,0
Model B,r 3 t 4 r d,combined,1,0
Model B,faggot,canonical,1,1
Model B,f a g g o t,spacing,1,0
Model B,f4gg0t,leet,1,0
Model B,faggottttt,repeat,1,0
Model B,f.a.g.g.o.t,symbols,1,0
Model B,f 4 g g 0 t,combined,1,0
Model B,nigger,canonical,1,1
Model B,n i g g e r,spacing,1,0
Model B,n1gg3r,leet,1,0
Model B,niggerrrrr,repeat,1,0
Model B,n.i.g.g.e.r,symbols,1,0
Model B,n 1 g g 3 r,combined,1,0
Model B,fag,canonical,1,1
Model B,f a g,spacing,1,0
Model B,f4g,leet,1,0
Model B,faggggg,repeat,1,0
Model B,f.a.g,symbols,1,0
Model B,f 4 g,combined,1,0
Model B,cunt,canonical,1,1
Model B,c u n t,spacing,1,0
Model B,cunt,leet,1,1
Model B,cunttttt,repeat,1,0
Model B,c.u.n.t,symbols,1,0
Model B,c u n t,combined,1,0
Model B,kys,canonical,1,0
Model B,k y s,spacing,1,0
Model B,ky$,leet,1,0
Model B,kysssss,repeat,1,0
Model B,k.y.s,symbols,1,0
Model B,k y $,combined,1,0
Model B,you are such a r e t a r d,spacing_in_sentence,1,0
Model B,stop being a f@gg0t,leet_in_sentence,1,0
Model B,just kysssss already,repeat_in_sentence,1,0
Model B,learn to play r.e.t.a.r.d,symbols_in_sentence,1,1
Model B,uninstall n 1 g g 3 r,combined_in_sentence,1,0
Model B,R3T 4 R d,multilayer_case_leet_space,1,0
Model B,F@G g 0 T,multilayer_case_leet_space,1,0
Model B,n.1.g.g.3.r,multilayer_leet_symbols,1,0
Model B,R.E.T.A.R.D.D.D.D,multilayer_symbols_repeat,1,0
Model B,k Y s$$$$,multilayer_case_leet_space_repeat,1,0
Model B,F   a   gg   0   T,multilayer_case_leet_widespacing,1,0
Model B,good game everyone,control_polite,0,0
Model B,g g w p,control_spacing_benign,0,0
Model B,nooooooo,control_repeat_benign,0,0
Model B,h3ll0 t34m,control_leet_benign,0,0
Model B,n.i.c.e p.l.a.y,control_symbols_benign,0,0
Model B,5v5 ranked is rough today,control_numbers,0,0
Model B,yesssssss,control_repeat_excitement,0,0
Model B,o m g,control_spacing_short,0,0
Model C,retard,canonical,1,1
Model C,r e t a r d,spacing,1,1
Model C,r3t4rd,leet,1,1
Model C,retarddddd,repeat,1,1
Model C,r.e.t.a.r.d,symbols,1,1
Model C,r 3 t 4 r d,combined,1,1
Model C,faggot,canonical,1,1
Model C,f a g g o t,spacing,1,1
Model C,f4gg0t,leet,1,1
Model C,faggottttt,repeat,1,1
Model C,f.a.g.g.o.t,symbols,1,1
Model C,f 4 g g 0 t,combined,1,1
Model C,nigger,canonical,1,1
Model C,n i g g e r,spacing,1,1
Model C,n1gg3r,leet,1,1
Model C,niggerrrrr,repeat,1,1
Model C,n.i.g.g.e.r,symbols,1,1
Model C,n 1 g g 3 r,combined,1,1
Model C,fag,canonical,1,1
Model C,f a g,spacing,1,1
Model C,f4g,leet,1,1
Model C,faggggg,repeat,1,1
Model C,f.a.g,symbols,1,1
Model C,f 4 g,combined,1,1
Model C,cunt,canonical,1,1
Model C,c u n t,spacing,1,1
Model C,cunt,leet,1,1
Model C,cunttttt,repeat,1,1
Model C,c.u.n.t,symbols,1,1
Model C,c u n t,combined,1,1
Model C,kys,canonical,1,1
Model C,k y s,spacing,1,1
Model C,ky$,leet,1,1
Model C,kysssss,repeat,1,1
Model C,k.y.s,symbols,1,1
Model C,k y $,combined,1,1
Model C,you are such a r e t a r d,spacing_in_sentence,1,1
Model C,stop being a f@gg0t,leet_in_sentence,1,1
Model C,just kysssss already,repeat_in_sentence,1,1
Model C,learn to play r.e.t.a.r.d,symbols_in_sentence,1,1
Model C,uninstall n 1 g g 3 r,combined_in_sentence,1,1
Model C,R3T 4 R d,multilayer_case_leet_space,1,1
Model C,F@G g 0 T,multilayer_case_leet_space,1,1
Model C,n.1.g.g.3.r,multilayer_leet_symbols,1,1
Model C,R.E.T.A.R.D.D.D.D,multilayer_symbols_repeat,1,1
Model C,k Y s$$$$,multilayer_case_leet_space_repeat,1,1
Model C,F   a   gg   0   T,multilayer_case_leet_widespacing,1,1
Model C,good game everyone,control_polite,0,0
Model C,g g w p,control_spacing_benign,0,0
Model C,nooooooo,control_repeat_benign,0,0
Model C,h3ll0 t34m,control_leet_benign,0,1
Model C,n.i.c.e p.l.a.y,control_symbols_benign,0,0
Model C,5v5 ranked is rough today,control_numbers,0,0
Model C,yesssssss,control_repeat_excitement,0,0
Model C,o m g,control_spacing_short,0,0
